x,y,temperatura,tipo
0.809524,0.571429,53.8065,interno
0.809524,0.619048,56.4932,interno
0.809524,0.666667,59.4172,interno
0.809524,0.714286,62.7033,interno
0.809524,0.761905,66.508,interno
0.809524,0.809524,71.0285,interno
0.809524,0.857143,76.4998,interno
0.809524,0.904762,83.1542,interno
0.809524,0.952381,91.0904,interno
0.809524,1,100,frontera
0.857143,0,0,frontera
0.857143,0.047619,11.2115,interno
0.857143,0.0952381,20.3225,interno
0.857143,0.142857,27.2375,interno
0.857143,0.190476,32.4649,interno
0.857143,0.238095,36.5143,interno
0.857143,0.285714,39.7663,interno
0.857143,0.333333,42.4841,interno
0.857143,0.380952,44.8491,interno
0.857143,0.428571,46.9913,interno
0.857143,0.47619,49.0102,interno
0.857143,0.52381,50.9898,interno
0.857143,0.571429,53.0087,interno
0.857143,0.619048,55.1509,interno
0.857143,0.666667,57.5159,interno
0.857143,0.714286,60.2337,interno
0.857143,0.761905,63.4857,interno
0.857143,0.809524,67.5351,interno
0.857143,0.857143,72.7625,interno
0.857143,0.904762,79.6775,interno
0.857143,0.952381,88.7885,interno
0.857143,1,100,frontera
0.904762,0,0,frontera
0.904762,0.047619,15.6139,interno
0.904762,0.0952381,25.9951,interno
0.904762,0.142857,32.6627,interno
0.904762,0.190476,37.1361,interno
0.904762,0.238095,40.3339,interno
0.904762,0.285714,42.7702,interno
0.904762,0.333333,44.7382,interno
0.904762,0.380952,46.4141,interno
0.904762,0.428571,47.9123,interno
0.904762,0.47619,49.3143,interno
0.904762,0.52381,50.6857,interno
0.904762,0.571429,52.0877,interno
0.904762,0.619048,53.5859,interno
0.904762,0.666667,55.2618,interno
0.904762,0.714286,57.2298,interno
0.904762,0.761905,59.6661,interno
0.904762,0.809524,62.8639,interno
0.904762,0.857143,67.3373,interno
0.904762,0.904762,74.0049,interno
0.904762,0.952381,84.3861,interno
0.904762,1,100,frontera
0.952381,0,0,frontera
0.952381,0.047619,25.2488,interno
0.952381,0.0952381,35.3814,interno
0.952381,0.142857,40.2818,interno
0.952381,0.190476,43.0832,interno
0.952381,0.238095,44.9149,interno
0.952381,0.285714,46.2424,interno
0.952381,0.333333,47.2844,interno
0.952381,0.380952,48.157,interno
0.952381,0.428571,48.9295,interno
0.952381,0.47619,49.6488,interno
0.952381,0.52381,50.3512,interno
0.952381,0.571429,51.0705,interno
0.952381,0.619048,51.843,interno
0.952381,0.666667,52.7156,interno
0.952381,0.714286,53.7576,interno
0.952381,0.761905,55.0851,interno
0.952381,0.809524,56.9168,interno
0.952381,0.857143,59.7182,interno
0.952381,0.904762,64.6186,interno
0.952381,0.952381,74.7512,interno
0.952381,1,100,frontera
1,0,50,frontera
1,0.047619,50,frontera
1,0.0952381,50,frontera
1,0.142857,50,frontera
1,0.190476,50,frontera
1,0.238095,50,frontera
1,0.285714,50,frontera
1,0.333333,50,frontera
1,0.380952,50,frontera
1,0.428571,50,frontera
1,0.47619,50,frontera
1,0.52381,50,frontera
1,0.571429,50,frontera
1,0.619048,50,frontera
1,0.666667,50,frontera
1,0.714286,50,frontera
1,0.761905,50,frontera
1,0.809524,50,frontera
1,0.857143,50,frontera
1,0.904762,50,frontera
1,0.952381,50,frontera
1,1,50,frontera
