x,y,temperatura
0.857143,0.714286,60.2337
0.857143,0.761905,63.4857
0.857143,0.809524,67.5351
0.857143,0.857143,72.7625
0.857143,0.904762,79.6775
0.857143,0.952381,88.7885
0.904762,0.047619,15.6139
0.904762,0.0952381,25.9951
0.904762,0.142857,32.6627
0.904762,0.190476,37.1361
0.904762,0.238095,40.3339
0.904762,0.285714,42.7702
0.904762,0.333333,44.7382
0.904762,0.380952,46.4141
0.904762,0.428571,47.9123
0.904762,0.47619,49.3143
0.904762,0.52381,50.6857
0.904762,0.571429,52.0877
0.904762,0.619048,53.5859
0.904762,0.666667,55.2618
0.904762,0.714286,57.2298
0.904762,0.761905,59.6661
0.904762,0.809524,62.8639
0.904762,0.857143,67.3373
0.904762,0.904762,74.0049
0.904762,0.952381,84.3861
0.952381,0.047619,25.2488
0.952381,0.0952381,35.3814
0.952381,0.142857,40.2818
0.952381,0.190476,43.0832
0.952381,0.238095,44.9149
0.952381,0.285714,46.2424
0.952381,0.333333,47.2844
0.952381,0.380952,48.157
0.952381,0.428571,48.9295
0.952381,0.47619,49.6488
0.952381,0.52381,50.3512
0.952381,0.571429,51.0705
0.952381,0.619048,51.843
0.952381,0.666667,52.7156
0.952381,0.714286,53.7576
0.952381,0.761905,55.0851
0.952381,0.809524,56.9168
0.952381,0.857143,59.7182
0.952381,0.904762,64.6186
0.952381,0.952381,74.7512
